Nome,Finalidade,Tipo de Imóvel,Estado,Preço de venda,Distrito,Concelho,Freguesia,Referência
Apartamento 4 quartos,Venda,Apartamento,Usado,176.000 €,Braga,Braga,Braga (São Vítor),285190163
Apartamento 3 quartos,Venda,Apartamento,Usado,140.000 €,Braga,Braga,Braga (São José de São Lázaro e São João do Souto),314190239
Apartamento Estúdio,Venda,Apartamento,Planta,110.000 €,Braga,Braga,Braga (São Vítor),285190161
Lote,Venda,Lote,N/D,70.308 €,Braga,Braga,Este (São Pedro e São Mamede),285190159
Lote,Venda,Lote,N/D,69.714 €,Braga,Braga,Este (São Pedro e São Mamede),285190158
Lote,Venda,Lote,N/D,70.632 €,Braga,Braga,Este (São Pedro e São Mamede),285190157
Lote,Venda,Lote,N/D,70.686 €,Braga,Braga,Este (São Pedro e São Mamede),285190156
Lote,Venda,Lote,N/D,69.390 €,Braga,Braga,Este (São Pedro e São Mamede),285190155
Lote,Venda,Lote,N/D,73.644 €,Braga,Braga,Este (São Pedro e São Mamede),285190154
Lote,Venda,Lote,N/D,110.238 €,Braga,Braga,Este (São Pedro e São Mamede),285190153
Lote,Venda,Lote,N/D,62.634 €,Braga,Braga,Este (São Pedro e São Mamede),285190152
Terreno Para Construção,Venda,Terreno Para Construção,N/D,115.000 €,Braga,Braga,"Nogueira, Fraião e Lamaçães",314190238
Loteamento,Venda,Loteamento,N/D,300.000 €,Braga,Braga,Gualtar,285190149
Lote,Venda,Lote,N/D,77.500 €,Braga,Braga,Gualtar,285190148
Lote,Venda,Lote,N/D,87.500 €,Braga,Braga,Gualtar,285190147
Lote,Venda,Lote,N/D,77.500 €,Braga,Braga,Gualtar,285190146
Lote,Venda,Lote,N/D,77.500 €,Braga,Braga,Gualtar,285190145
Apartamento 2 quartos,Venda,Apartamento,Usado,137.500 €,Braga,Braga,Braga (São Vítor),285190144
Apartamento 2 quartos,Venda,Apartamento,Usado,120.000 €,Braga,Braga,Braga (São Vítor),285190143
