Nome,Id,Tipo de imóvel,Preço,Preço m/2,Distrito,Concelho,Freguesia,Rua,Latitude,Longitude,Tipologia,Nº Casas de Banho,Área útil m/2,Área bruta m/2,Ano construção,Certificado energético,Armário,Cozinha equipada,Garagem box,Gás canalizado,Lareira,Marquise,Suite,Varanda,Vista de cidade,Condição,Despensa,Arrecadação,Porta blindada,Video Porteiro,Empreendimento,Ar condicionado,Elevador,Estores elétricos,Fibra ótica,Pré-instalação de ar condicionado,Terraço,Área de terreno m/2,Churrasco,Árvores de fruto,Sotão,Cave,Jardim,Aquecimento central,Caldeira,Acessibilidade a pessoas com mobilidade condicionada,Box 2 carros,Detetor de gás,Painéis solares,Recuperação de calor,Vista de campo/serra,Box 1 carro,Portaria,Estacionamento,Piso radiante,Som ambiente,Aspiração central,Finalidade,Tipo de terreno,Acesso pavimentado,Asfaltado,Iluminação pública,Zona arborizada,Declive,Ruína,Alarme,Furo de água,Domótica,Casa das máquinas,Condomínio Fechado,Parque infantil,Piscina,Piscina Privada,Termoacumulador,Garagem exterior,Mobilado,Hidromassagem/jacuzzi,Quintal/horta,Ginásio,Kitchenette,Vigilância/segurança,Campo de ténis,Segurança 24 horas,Vedação,Parqueamento (1 carro),Ligação a rede de água,Ligação a rede de saneamento,Ligação a rede elétrica,Animais permitidos,Parqueamento (2 carros),Cofre,Vista de rio,Nº divisões,Tipo,Pisos,Com WC,Montra,Anexo habitacional,Detetor de incêndio,Detetor de Inundução,Vista de cidade,Área (m/2),Vista de mar,Jacuzzi,Património classificado,Adaptada a mobilidade reduzida,Com cozinha,Imóvel de banca,Vista de lago,Fossa séptica,Licensa de construção,Acesso a veículos pesados,Área administrativa,Copa,Recepção,Refeitório,Sala de reuniões,Área florestal,Hidromassagem,Percurso de água,Armazém,Vista de Serra,Adaptado a mobilidade reduzida,Terra batida,Video vigilância,Espaço frigorífico,Espaço para arrumação,Casa de banho partilhada,Poço,Sótão,Paisagem protegida
Apartamento T3 com terraço no centro da cidade de Braga,15504721,Apartamento,1 100 ,8 ,Braga (distrito),Braga,Braga (São José de São Lázaro e São João do Souto),Rua 25 de Abril - São José de São Lázaro,41.548223950483,-8.4194392965567,T3,3,130 m²,200 m²,2016,,True,True,,True,,,True,True,True,Renovado,,,True,True,,,,,,True,True,,True,,,,,True,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moradia mobilada na zona histórica,15500312,Moradia,1 200 ,4 ,Braga (distrito),Braga,Sequeira,,41.52766,-8.47174,T3,,300 m²,320 m²,2009,C,,,,,,,,,,,,,,,,True,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NOVO - T3 Open space,11891725,Apartamento,750 ,5 ,Braga (distrito),Braga,"Real, Dume e Semelhe",,41.56211,-8.43846,T3,2,140 m²,160 m²,2020,,,,,True,,,True,True,,Novo,,,True,,,,True,,True,True,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T3 Lamaçães Novo,15490870,Apartamento,950 ,6 ,Braga (distrito),Braga,"Nogueira, Fraião e Lamaçães",,41.5364075,-8.4004,T3,2,148 m²,160 m²,2020,,,,True,,,True,True,True,,Novo,,,True,,,True,True,,,,,,True,,,,,,,,,,,True,,,,True,,,True,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T2 para Arrendamento,15488009,Apartamento,650 ,7 ,Braga (distrito),Braga,"Nogueira, Fraião e Lamaçães",,41.543399,-8.402085,T2,2,90 m²,,2003,B-,,,,True,True,,True,True,,Usado,,,,,,,,,,,,,,,,,,True,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Apartamento T3 mobilado, S. Vitor",15482625,Apartamento,650 ,5 ,Braga (distrito),Braga,São Victor,,41.55251,-8.414089,T3,2,135 m²,140 m²,1991,D,True,True,True,True,,,,True,True,Usado,True,True,,,,,True,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,True,,,True,,True,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T3 Fraião - Braga - Minho Center - ARRENDAMENTO,15482098,Apartamento,800 ,7 ,Braga (distrito),Braga,"Nogueira, Fraião e Lamaçães",,41.54503,-8.399415,T3,2,120 m²,135 m²,2005,C,,,True,,,,,True,,Usado,,,,,,,True,,,,,,,,,,,,,True,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T4 para Arrendamento,15474872,Apartamento,1 200 ,7 ,Braga (distrito),Braga,São Victor,,41.547509709561,-8.4116514386103,T4,3,175 m²,,1994,C,,,,True,,,True,True,True,Renovado,,,,,,True,True,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T3 bom em Tenões,15047841,Apartamento,625 ,5 ,Braga (distrito),Braga,Nogueiró e Tenões,,41.54503,-8.39942,T3,2,135 m²,,2014,,,,,True,,,True,True,,Usado,,,True,,,,True,,True,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Apartamento T3 Arrendamento em Braga (São Vicente),Braga",15469064,Apartamento,600 ,4 ,Braga (distrito),Braga,São Vicente,Avenida General Norton de Matos - São Vicente,41.5554,-8.424898,T3,,140 m²,118 m²,1996,D,,True,True,True,True,,,True,True,Usado,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amplo apartamento T3  para arrendamento no centro da cidade,15460174,Apartamento,650 ,6 ,Braga (distrito),Braga,"Braga (Maximinos, Sé e Cividade)",,41.5429268,-8.437615,T3,2,115 m²,,,,,,,True,True,,,True,,Usado,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apartamento T1 Mobilado e Equipado - BragaParque,15409759,Apartamento,550 ,8 ,Braga (distrito),Braga,São Victor,Rua da Quinta da Armada - São Victor,41.560478210449,-8.4029302597046,T1,1,70 m²,80 m²,1994,F,,,,,,,,,True,Usado,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
