Nome,Preço,Preço m/2,Distrito,Concelho,Freguesia,Tipologia,Nº Casas de Banho,Área útil m/2,Área bruta m/2,Ano construção,Certificado energético,Armário,Cozinha equipada,Garagem box,Gás canalizado,Lareira,Marquise,Suite,Varanda,Vista de cidade,Condição,Despensa,Arrecadação,Porta blindada,Video Porteiro,Empreendimento,Ar condicionado,Elevador,Estores elétricos,Fibra ótica,Pré-instalação de ar condicionado,Terraço,Área de terreno m/2,Churrasco,Árvores de fruto,Sotão,Cave,Jardim,Aquecimento central,Caldeira,Acessibilidade a pessoas com mobilidade condicionada,Box 2 carros,Detetor de gás,Painéis solares,Recuperação de calor,Vista de campo/serra,Box 1 carro,Portaria,Estacionamento,Piso radiante,Som ambiente,Aspiração central,Finalidade,Tipo de terreno,Acesso pavimentado,Asfaltado,Iluminação pública,Zona arborizada,Declive,Ruína,Alarme,Furo de água,Domótica,Casa das máquinas,Condomínio Fechado,Parque infantil,Piscina,Piscina Privada,Termoacumulador,Garagem exterior,Mobilado,Hidromassagem/jacuzzi,Quintal/horta,Ginásio,Kitchenette,Vigilância/segurança,Campo de ténis,Segurança 24 horas,Vedação,Parqueamento (1 carro),Ligação a rede de água,Ligação a rede de saneamento,Ligação a rede elétrica,Animais permitidos,Parqueamento (2 carros),Cofre,Vista de rio,Nº divisões,Tipo,Pisos,Com WC,Montra,Anexo habitacional,Detetor de incêndio,Detetor de Inundução,Vista de cidade,Área (m/2),Vista de mar,Jacuzzi,Património classificado,Adaptada a mobilidade reduzida,Com cozinha,Imóvel de banca,Vista de lago,Fossa séptica,Licensa de construção,Acesso a veículos pesados,Área administrativa,Copa,Recepção,Refeitório,Sala de reuniões,Área florestal,Hidromassagem,Percurso de água,Armazém,Vista de Serra,Adaptado a mobilidade reduzida,Terra batida,Video vigilância,Espaço frigorífico,Espaço para arrumação,Casa de banho partilhada,Poço,Sótão,Paisagem protegida
Lote de Terreno c/610 m2 junto ao Santuário do Sameiro em Espinho!,42 500 ,70 ,Braga (distrito),Braga,Sequeira,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,
"Moradia Banda NOVA T3, na Quinta da Capela, Centro da Cidade de Braga!",290 000 ,1 208 ,Braga (distrito),Braga,Braga (São José de São Lázaro e São João do Souto),,,240 m²,,,,,,True,,,,True,True,True,,,,,True,,,,,,,,,,,,,True,,,,,,True,,,,,,,True,,,,,,,,,,True,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lote de Terreno c/1.401 m2 Junto ao Centro de Braga em S. Victor!,199 800 ,143 ,Braga (distrito),Braga,São Victor,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lote de Terreno c/709 m2 Junto ao Centro de Braga em S. Victor!,99 900 ,141 ,Braga (distrito),Braga,São Victor,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Moradia Individual Térrea NOVA em Esporões, Braga!",395 000 ,1 330 ,Braga (distrito),Braga,Esporões,,,297 m²,,,,,True,,,,,True,True,,,,,,,,True,,,,,,,,,,,True,,,,,,,True,True,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Lote p/Moradia Individual em Sobreposta, Braga!",39 900 ,80 ,Braga (distrito),Braga,Sobreposta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Lote p/Moradia Gaveto em Parada de Tibães, Braga!",42 000 ,117 ,Braga (distrito),Braga,"Merelim (São Paio), Panoias e Parada de Tibães",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Lote de Terreno c/500 m2 em Sobreposta, Braga!",29 900 ,60 ,Braga (distrito),Braga,Sobreposta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,
"Apartamento T3 c/Terraço, Remodelado na Rua de Santa Margarida, Braga!",245 000 ,1 944 ,Braga (distrito),Braga,São Victor,,,126 m²,297 m²,,,,True,,,,,True,,True,,,,,,,True,,,,,True,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apartamento T4 no Centro de Braga,185 000 ,1 480 ,Braga (distrito),Braga,São Victor,,,125 m²,149 m²,,,,True,True,,,,,True,,,,,,,,,True,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Oferta da escritura. Moradia em Gaveto T3, a 2 minutos do...",310 000 ,1 088 ,Braga (distrito),Braga,"Real, Dume e Semelhe",,,285 m²,336 m²,,,,,True,,,,True,True,,,True,,,True,,,,,,True,,,True,,,True,True,True,True,,,,,True,,,,,,,True,,,,,,,,,True,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Oferta da escritura. Moradia em Banda T3, a 2 minutos do ...",290 000 ,1 018 ,Braga (distrito),Braga,"Real, Dume e Semelhe",,,285 m²,336 m²,,,,,True,,,,True,True,,,True,,,True,,,,,,True,,,True,,,True,True,True,True,,,,,True,,,,,,,True,,,,,,,,,True,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Moradia T3 com 3 Suites em Tebosa, Braga.",295 000 ,1 967 ,Braga (distrito),Braga,Tebosa,,,150 m²,300 m²,,,,True,True,,,,,True,,,,,,,,,,,,,,,,,,,True,True,,True,,,,,True,,,True,,True,,,,,,,,,,True,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Moradia de Gaveto T3 em Este, S. Pedro",327 800 ,1 842 ,Braga (distrito),Braga,Este (São Pedro e São Mamede),,,178 m²,279 m²,,,,True,True,,,,,True,,,,,,,,True,,,,,,,,,,,True,,,,,,,,True,,,True,,,,,,,,,,,,True,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Moradia Gaveto NOVA T3, na Quinta da Capela, Centro da Cidade de Braga!",320 000 ,1 768 ,Braga (distrito),Braga,Braga (São José de São Lázaro e São João do Souto),,,181 m²,240 m²,,,,True,True,,,,,True,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,True,,,,,,,,,,True,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Apartamento T0 para investimento em Gualtar U. Minho, até 6% rentabili",72 570 ,4 838 ,Braga (distrito),Braga,Gualtar,,,15 m²,,,,,True,,True,,,,,,,,,,,,True,True,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,True,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
