Nome,Nº Quartos,Nº Casas de Banho,Nº Estacionamentos,Área Útil,Área Terreno,Certificado Energia,Finalidade,Tipo de Imóvel,Estado,Preço de Venda,Distrito,Concelho,Freguesia,Coordenadas,Referência,Infraestruturas,Tipo de modalidade,Zona,Constituição,Sistema de abastecimento de água,Caixilharia das Janelas,Climatização,Domótica,Edifício,Garagem,Vistas,Exposição Solar,Segurança
Moradia em Banda 4 quartos,4,4,2,,,Cert.Energ.: B,Venda,Moradia em Banda,Usado,250.000 €,Braga,Braga,Braga (São Vicente),"41.6,-8.7",260200080,,,,,,,,,,,,,
Apartamento 3 quartos,3,2,1,120,,Cert.Energ.: C,Venda,Apartamento,Usado,140.000 €,Braga,Braga,Braga (São Vicente),"41.6,-8.7",260200079,,,,,,,,Gás Canalizado; ,,,,,
Loja,,2,,140,,Cert.Energ.: B,Venda,Loja,Usado,82.000 €,Braga,Braga,"Braga (Maximinos, Sé e Cividade)","41.5429275,-8.4376151",260200078,,,,,,,,,,,,,
Lote,,,,,414,,Venda,Lote,N/D,140.000 €,Braga,Braga,Merelim (São Pedro) e Frossos,"41.5808788,-8.4536477",260200077,,,,,,,,,,,,,
Lote Industrial,,,,,996,,Venda,Lote Industrial,N/D,195.610 €,Braga,Braga,Merelim (São Pedro) e Frossos,"41.5808788,-8.4536477",260200076,,,,,,,,,,,,,
Lote Industrial,,,,,998,,Venda,Lote Industrial,N/D,195.801 €,Braga,Braga,Merelim (São Pedro) e Frossos,"41.5808788,-8.4536477",260200075,,,,,,,,,,,,,
Lote Industrial,,,,,950,,Venda,Lote Industrial,N/D,191.000 €,Braga,Braga,Merelim (São Pedro) e Frossos,"41.5808788,-8.4536477",260200074,,,,,,,,,,,,,
Lote Industrial,,,,,950,,Venda,Lote Industrial,N/D,191.000 €,Braga,Braga,Merelim (São Pedro) e Frossos,"41.5808788,-8.4536477",260200073,,,,,,,,,,,,,
Lote Industrial,,,,,942,,Venda,Lote Industrial,N/D,190.250 €,Braga,Braga,Merelim (São Pedro) e Frossos,"41.5808788,-8.4536477",260200072,,,,,,,,,,,,,
Lote Industrial,,,,,1673,,Venda,Lote Industrial,N/D,269.350 €,Braga,Braga,Merelim (São Pedro) e Frossos,"41.5808788,-8.4536477",260200071,,,,,,,,,,,,,
Lote Industrial,,,,,900,,Venda,Lote Industrial,N/D,196.672 €,Braga,Braga,Merelim (São Pedro) e Frossos,"41.5808788,-8.4536477",260200070,,,,,,,,,,,,,
Loja,,1,,53,,,Venda,Loja,Usado,33.000 €,Braga,Braga,Braga (São Vicente),"41.6,-8.7",260200069,,,"Acessos: Comboio; Centralidade: Centro da Cidade; Proximidade: Escolas, Farmácia, Serviços Públicos, Supermercado; ",Nº Divisões: 2; Nº Escritórios: 1; Quarto de Banho: Próprio; Luz Natural: 75%; ,,,,,,,,,
Apartamento 1 quarto,1,2,,74,,Cert.Energ.: B,Venda,Apartamento,Novo,275.000 €,Braga,Braga,Braga (São José de São Lázaro e São João do Souto),"41.5487267,-8.4214409",260200067,,,,,,"Estores: Alumínio, Eléctricos; ",Ar Condicionado: Pré-Instalação; ,Video-Porteiro; Música Ambiente: Pré-Instalação; ,,,,,
Apartamento 1 quarto,1,2,,48,,Cert.Energ.: B,Venda,Apartamento,Novo,245.000 €,Braga,Braga,Braga (São José de São Lázaro e São João do Souto),"41.5487267,-8.4214409",260200066,,,,,,"Estores: Alumínio, Eléctricos; ",Ar Condicionado: Pré-Instalação; ,Video-Porteiro; Música Ambiente: Pré-Instalação; ,,,,,
Apartamento 1 quarto,1,2,,63,,Cert.Energ.: B,Venda,Apartamento,Novo,250.000 €,Braga,Braga,Braga (São José de São Lázaro e São João do Souto),"41.5487267,-8.4214409",260200065,,,,,,"Estores: Alumínio, Eléctricos; ",Ar Condicionado: Pré-Instalação; ,Video-Porteiro; Música Ambiente: Pré-Instalação; ,,,,,
Apartamento 1 quarto,1,2,,63,,Cert.Energ.: B,Venda,Apartamento,Novo,270.000 €,Braga,Braga,Braga (São José de São Lázaro e São João do Souto),"41.5487267,-8.4214409",260200064,,,,,,"Estores: Alumínio, Eléctricos; ",Ar Condicionado: Pré-Instalação; ,Video-Porteiro; Música Ambiente: Pré-Instalação; ,,,,,
Apartamento 2 quartos,2,3,,85,,Cert.Energ.: B-,Venda,Apartamento,Novo,295.000 €,Braga,Braga,Braga (São José de São Lázaro e São João do Souto),"41.5487267,-8.4214409",260200063,,,,,,"Estores: Alumínio, Eléctricos; ",Ar Condicionado: Pré-Instalação; ,Video-Porteiro; ,,,,,
Apartamento 1 quarto,1,2,,67,,Cert.Energ.: B,Venda,Apartamento,Novo,250.000 €,Braga,Braga,Braga (São José de São Lázaro e São João do Souto),"41.5487267,-8.4214409",260200062,,,,,,"Estores: Alumínio, Eléctricos; ",Ar Condicionado: Pré-Instalação; ,Video-Porteiro; Música Ambiente: Pré-Instalação; ,,,,,
Loja,,2,,190,,Cert.Energ.: B-,Venda,Loja,Novo,700.000 €,Braga,Braga,Braga (São José de São Lázaro e São João do Souto),"41.5487267,-8.4214409",260200061,,,,,,,,,,,,,
Lote,,,,780,780,,Venda,Lote,N/D,120.000 €,Braga,Braga,"Real, Dume e Semelhe","41.5581653,-8.4448032",260200060,,,,,,,,,,,,,
Lote Industrial,,,,,995,,Venda,Lote Industrial,N/D,195.567 €,Braga,Braga,Merelim (São Pedro) e Frossos,"41.5808788,-8.4536477",260200058,,,,,,,,,,,,,
Apartamento 3 quartos,3,3,2,162,,,Venda,Apartamento,Construção,205.000 €,Braga,Braga,"Real, Dume e Semelhe","41.5581653,-8.4448032",260200057,,,"Acessos: Bons, Transportes Púb.; Centralidade: Centro da Cidade; Proximidade: Bancos, Centros Comerciais, Clínica, Escolas, Farmácia, Ginásio, Jardins, Jardins Infância, Padaria, Serviços Públicos, Supermercado; ",Nº Pisos: 5; ,Companhia; ,"Aluminio, Termolacada, Vidro Duplo; Estores: Eléctricos, Térmicos; ",Painel Solar; Ar Condicionado: Pré-Instalação; ,"Churrasqueira, Estores Eléctricos, TV-Cabo, Video-Porteiro; ","Tipo empreendimento: Habitação; Isolamento: Acústico, Térmico; Revestimento Exterior: Pintado; Pavimento: Tijoleira; Paredes: Pintadas; Tecto: Falso Pladur, Focos; Equipamento: Sala Condomínio, TV Cabo, Video-Porteiro; ",Portão Automático; Local: Cave; ,Panorâmicas; ,"Nascente, Poente; ",
Armazém,,,,809,1200,,Venda,Armazém,Usado,210.000 €,Braga,Braga,Braga (São Vicente),"41.6,-8.7",260200055,,,,,,,,,,,,,
Moradia em Banda 4 quartos,4,3,4,97,287,,Venda,Moradia em Banda,Construção,240.000 €,Braga,Braga,Merelim (São Pedro) e Frossos,"41.5808788,-8.4536477",260200053,,,,,,,,,,,,,
Moradia em Banda 3 quartos,3,3,3,88,157,,Venda,Moradia em Banda,Construção,240.000 €,Braga,Braga,"Real, Dume e Semelhe","41.5581653,-8.4448032",260200052,,,,,,,,,,,,,
Moradia em Banda 3 quartos,3,3,3,88,157,,Venda,Moradia em Banda,Construção,240.000 €,Braga,Braga,"Real, Dume e Semelhe","41.5581653,-8.4448032",260200051,,,,,,,,,,,,,
Moradia em Banda 3 quartos,3,3,3,88,157,,Venda,Moradia em Banda,Construção,240.000 €,Braga,Braga,"Real, Dume e Semelhe","41.5581653,-8.4448032",260200050,,,,,,,,,,,,,
Loja,,,,117,,Cert.Energ.: C,Venda,Loja,Novo,110.000 €,Braga,Braga,Braga (São Vítor),"41.6666667,-8.3166667",285200045,,,"Acessos: Bons; Centralidade: Centro da Cidade; Proximidade: Bancos, Bombeiros, Centros Comerciais, Clínica, Escolas, Farmácia, Ginásio, Hospital, Jardins, Jardins Infância, Padaria, Polícia, Praias, Serviços Públicos, Supermercado; ",Nº Divisões: 2; ,,,,,,,,,
Moradia 4 quartos,4,2,1,158,775,Cert.Energ.: D,Venda,Moradia,Usado,145.000 €,Braga,Braga,Crespos e Pousada,"41.603437,-8.3556093",285200043,,,"Acessos: Bons; Centralidade: Periferia Cidade; Proximidade: Escolas, Jardins Infância, Supermercado; ",Nº Frentes: 4; Nº Pisos: 3; ,"Companhia, Poço; ","Aluminio, PVC; Estores: Alumínio, PVC; ",,Gás Canalizado; ,,Local: Exterior; ,"Campo, Panorâmicas, Pastagens; ","Nascente, Poente; ",
Andar Moradia 4 quartos,4,2,1,148,,,Venda,Andar Moradia,Usado,169.900 €,Braga,Braga,"Nogueira, Fraião e Lamaçães","41.5268416,-8.4117608",314200100,,,,,,,,,,,,,
Apartamento 3 quartos,3,2,1,110,,Cert.Energ.: C,Venda,Apartamento,Usado,188.000 €,Braga,Braga,"Nogueira, Fraião e Lamaçães","41.5268416,-8.4117608",314200099,,,"Acessos: Bons, Transportes Púb.; Centralidade: Periferia Cidade; Proximidade: Bancos, Centros Comerciais, Clínica, Escolas, Farmácia, Ginásio, Hospital, Jardins, Jardins Infância, Padaria, Serviços Públicos, Supermercado; ",Nº Frentes: 2; ,Companhia; ,"Aluminio, Vidro Duplo; Estores: Eléctricos; ",Aquecimento Central: Completo; ,,"Tipo empreendimento: Habitação; Revestimento Exterior: Cerâmica; Pavimento: Granito; Tecto: Falso Pladur, Focos; Equipamento: Gás Canalizado, Video-Porteiro; ",Portão Automático; Local: Cave; ,,"Nascente, Poente; ",
Armazém,,,,245,,,Venda,Armazém,Usado,82.380 €,Braga,Braga,Braga (São José de São Lázaro e São João do Souto),"41.5487267,-8.4214409",314200097,,,,,,,,,,,,,
Lote,,,,300,360,,Venda,Lote,N/D,52.000 €,Braga,Braga,"Celeirós, Aveleda e Vimieiro","41.5147438,-8.4554906",314200095,Concluídas; ,,Acessos: Calçada; Centralidade: Periferia Cidade; ,,,,,,,,,,
