Nome,Id,Tipo de imóvel,Preço,Preço m/2,Distrito,Concelho,Freguesia,Rua,Latitude,Longitude,Tipologia,Nº Casas de Banho,Área útil m/2,Área bruta m/2,Ano construção,Certificado energético,Armário,Cozinha equipada,Garagem box,Gás canalizado,Lareira,Marquise,Suite,Varanda,Vista de cidade,Condição,Despensa,Arrecadação,Porta blindada,Video Porteiro,Empreendimento,Ar condicionado,Elevador,Estores elétricos,Fibra ótica,Pré-instalação de ar condicionado,Terraço,Área de terreno m/2,Churrasco,Árvores de fruto,Sotão,Cave,Jardim,Aquecimento central,Caldeira,Acessibilidade a pessoas com mobilidade condicionada,Box 2 carros,Detetor de gás,Painéis solares,Recuperação de calor,Vista de campo/serra,Box 1 carro,Portaria,Estacionamento,Piso radiante,Som ambiente,Aspiração central,Finalidade,Tipo de terreno,Acesso pavimentado,Asfaltado,Iluminação pública,Zona arborizada,Declive,Ruína,Alarme,Furo de água,Domótica,Casa das máquinas,Condomínio Fechado,Parque infantil,Piscina,Piscina Privada,Termoacumulador,Garagem exterior,Mobilado,Hidromassagem/jacuzzi,Quintal/horta,Ginásio,Kitchenette,Vigilância/segurança,Campo de ténis,Segurança 24 horas,Vedação,Parqueamento (1 carro),Ligação a rede de água,Ligação a rede de saneamento,Ligação a rede elétrica,Animais permitidos,Parqueamento (2 carros),Cofre,Vista de rio,Nº divisões,Tipo,Pisos,Com WC,Montra,Anexo habitacional,Detetor de incêndio,Detetor de Inundução,Vista de cidade,Área (m/2),Vista de mar,Jacuzzi,Património classificado,Adaptada a mobilidade reduzida,Com cozinha,Imóvel de banca,Vista de lago,Fossa séptica,Licensa de construção,Acesso a veículos pesados,Área administrativa,Copa,Recepção,Refeitório,Sala de reuniões,Área florestal,Hidromassagem,Percurso de água,Armazém,Vista de Serra,Adaptado a mobilidade reduzida,Terra batida,Video vigilância,Espaço frigorífico,Espaço para arrumação,Casa de banho partilhada,Poço,Sótão,Paisagem protegida
"Lote de Terreno P/Construção de Moradia Gaveto em Real, Braga!",14884360,Terreno,49 900 ,206 ,Braga (distrito),Braga,"Real, Dume e Semelhe",Rua da Tapada,41.555658483112325,-8.445825282341234,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Habitação,Urbano,True,True,True,,Plano,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moradia p/Restauro próximo do Bom Jesus de Braga!,14805068,Terreno,229 000 ,267 ,Braga (distrito),Braga,Nogueiró e Tenões,Rua da Eira,41.55566062541084,-8.386454566040038,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Habitação,Urbano,True,,True,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,
Moradia Individual T4+1 próxima do Centro de Braga em Lomar!,14802502,Moradia,395 000 ,781 ,Braga (distrito),Braga,Lomar e Arcos,Rua Bouça das Mouras - Lomar,41.528537961690546,-8.425071566152575,T5,4 ou mais,506 m²,,2008,B-,,True,True,,,,True,True,True,Usado,,,,,,,,,,,True,,,,,,True,True,,,,,,True,,,,,,,True,,,,,,,,,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Apartamento T3 c/133 m2 NOVO na Qta. da Naia em Ferreiros, Braga!",14791929,Apartamento,169 900 ,1 277 ,Braga (distrito),Braga,Ferreiros e Gondizalves,Sem Nome,41.53863270714831,-8.439923121704101,T3,2,133 m²,,,B,,True,,,,,True,True,True,Novo,,,,,,True,True,,,,,,,,,,True,,,,,,,,,,,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apartamento T3 no centro da cidade de Braga,15367609,Apartamento,109 900 ,931 ,Braga (distrito),Braga,Braga (São José de São Lázaro e São João do Souto),Rua da Devesa - São José de São Lázaro,41.54255201310465,-8.416493061711218,T3,2,118 m²,134 m²,1988,D,,True,,True,,,,True,True,,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Moradia Gaveto NOVA T3, na Quinta da Capela, Centro da Cidade de Braga",14818347,Moradia,320 000 ,1 333 ,Braga (distrito),Braga,Braga (São José de São Lázaro e São João do Souto),Rua Santo Adrião,41.53802760611819,-8.406538947143554,T3,3,240 m²,,,B,,True,,,,,True,True,True,Novo,True,,,,sim,,,,,,True,,True,,,,,,,,,,,,,,,,,True,True,,,,,,,,,True,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moradia T3+1 Junto ao Fórum Braga em S. José de S. Lázaro!,14855489,Moradia,349 900 ,1 272 ,Braga (distrito),Braga,Braga (São José de São Lázaro e São João do Souto),Rua Monsenhor Airosa - Cividade,41.54175708736349,-8.42530894165039,T3,,275 m²,321 m²,2008,C,,True,,,,,True,True,True,Usado,,,,,,True,,,,,,,True,,,,True,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Magnífico T4 em Condomínio Fechado com piscina,14984434,Apartamento,275 000 ,1 511 ,Braga (distrito),Braga,"Real, Dume e Semelhe",Rua do Parque Norte - Real,41.56211,-8.438464,T4,4 ou mais,182 m²,"240,10 m²",,A+,,,,True,,,True,,,Em construção,True,,True,True,,True,True,,True,,,,True,,,,True,,,,,,,True,,,,,,,,,,,,,,,,,,,,True,True,True,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Moradia Banda “NOVA” em Nogueiró, Braga!",14982674,Moradia,288 000 ,796 ,Braga (distrito),Braga,Nogueiró e Tenões,Largo do Arco,41.55023312269739,-8.39091776184082,T4,2,362 m²,,,C,,,True,,,,True,,True,Novo,,,,,,,,,,,,,,,,,True,True,,,,,True,,,,,,,,,,,,,,,,,True,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,
"Luxuosa Moradia Individual Térrea c/Piscina em Este S. Mamede, Braga!",14902416,Moradia,499 000 ,2 585 ,Braga (distrito),Braga,Este (São Pedro e São Mamede),Rua do Xisto,41.57059193468643,-8.36542604736328,T3,4 ou mais,193 m²,253 m²,,B,,True,,,,,True,True,,Novo,,,,True,,,,,,,,,,,,,True,True,,,,,True,,True,,,,,True,True,,,,,,,,,True,,,,,,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,
